TYPEID,GROUPID,TYPENAME,VOLUME,MARKETGROUPID,ICONID
438,46,1MN Afterburner II,5,542,96
439,46,1MN Afterburner I,5,542,96
440,46,5MN Microwarpdrive II,10,131,10149
442,47,Cargo Scanner I,5,711,106
443,48,Ship Scanner I,5,713,107
444,49,Survey Scanner I,5,714,2732
447,52,Warp Scrambler I,5,1936,3433
448,52,Warp Scrambler II,5,1936,3433
450,53,Gatling Pulse Laser I,5,570,350
451,53,Dual Light Pulse Laser I,5,570,350
452,53,Dual Light Beam Laser I,5,567,352
453,53,Small Focused Pulse Laser I,5,570,350
454,53,Small Focused Beam Laser I,5,567,352
455,53,Quad Light Beam Laser I,10,568,355
456,53,Focused Medium Pulse Laser I,10,572,356
457,53,Focused Medium Beam Laser I,10,568,355
458,53,Heavy Pulse Laser I,25,572,356
459,53,Heavy Beam Laser I,25,568,355
460,53,Dual Heavy Pulse Laser I,20,573,360
461,53,Dual Heavy Beam Laser I,50,569,361
462,53,Mega Pulse Laser I,50,573,360
463,53,Mega Beam Laser I,50,569,361
464,53,Tachyon Beam Laser I,50,569,361
482,54,Miner II,5,1039,1061
483,54,Miner I,5,1039,1061
484,55,125mm Gatling AutoCannon I,5,574,387
485,55,150mm Light AutoCannon I,5,574,387
486,55,200mm AutoCannon I,5,574,387
487,55,250mm Light Artillery Cannon I,5,577,389
488,55,280mm Howitzer Artillery I,5,577,389
489,55,Dual 180mm AutoCannon I,10,575,386
490,55,220mm Vulcan AutoCannon I,10,575,386
491,55,425mm AutoCannon I,10,575,386
492,55,650mm Artillery Cannon I,25,578,384
493,55,720mm Howitzer Artillery I,25,578,384
494,55,Dual 425mm AutoCannon I,20,576,381
495,55,Dual 650mm Repeating Cannon I,50,576,381
496,55,800mm Repeating Cannon I,25,576,381
497,55,1200mm Artillery Cannon I,50,579,379
498,55,1400mm Howitzer Artillery I,50,579,379
499,509,Light Missile Launcher I,5,640,168
501,510,Heavy Missile Launcher I,10,642,169
503,508,Torpedo Launcher I,20,644,170
506,767,'Basic' Capacitor Power Relay,5,667,90
508,770,'Basic' Shield Flux Coil,5,687,83
509,768,'Basic' Capacitor Flux Coil,5,666,90
518,59,Basic Gyrostabilizer,5,646,1046
519,59,Gyrostabilizer II,5,646,1046
520,59,Gyrostabilizer I,5,646,1046
521,60,Basic Damage Control,5,615,77
522,61,Micro Capacitor Battery I,2.5,702,89
523,62,Small Armor Repairer I,5,1049,80
524,63,Small Hull Repairer I,12.5,1053,21378
526,65,Stasis Webifier I,5,683,1284
527,65,Stasis Webifier II,5,683,1284
529,67,Small Remote Capacitor Transmitter I,25,695,1035
530,68,Small Energy Nosferatu I,5,692,1029
533,71,Small Energy Neutralizer I,5,689,1283
561,74,75mm Gatling Rail I,5,564,349
562,74,Light Electron Blaster I,5,561,376
563,74,Light Ion Blaster I,5,561,376
564,74,Light Neutron Blaster I,5,561,376
565,74,150mm Railgun I,5,564,349
566,74,Heavy Electron Blaster I,10,562,371
567,74,Dual 150mm Railgun I,10,565,370
568,74,Heavy Neutron Blaster I,25,562,371
569,74,Heavy Ion Blaster I,10,562,371
570,74,250mm Railgun I,25,565,370
571,74,Electron Blaster Cannon I,50,563,365
572,74,Dual 250mm Railgun I,20,566,366
573,74,Neutron Blaster Cannon I,50,563,365
574,74,425mm Railgun I,50,566,366
575,74,Ion Blaster Cannon I,50,563,365
577,76,Medium Capacitor Booster I,10,700,1031
578,77,Adaptive Invulnerability Field I,20,1696,81
580,80,ECM Burst I,5,678,109
581,82,Passive Targeter I,25,672,104
582,25,Bantam,20000,61,
583,25,Condor,18000,61,
584,25,Griffin,19400,61,
585,25,Slasher,17400,64,
586,25,Probe,19500,64,
587,25,Rifter,27289,64,
588,237,Reaper,15800,1819,
589,25,Executioner,28100,72,
590,25,Inquisitor,28700,72,
591,25,Tormentor,24398,72,
592,25,Navitas,10000,77,
593,25,Tristan,26500,77,
594,25,Incursus,29500,77,
596,237,Impairor,28100,1816,
597,25,Punisher,28600,72,
598,25,Breacher,20000,64,
599,25,Burst,17100,64,
601,237,Ibis,15000,1817,
602,25,Kestrel,19700,61,
603,25,Merlin,16500,61,
605,25,Heron,18900,61,
606,237,Velator,24500,1818,
607,25,Imicus,21500,77,
608,25,Atron,22500,77,
609,25,Maulus,23000,77,
615,237,Immolator,17400,1619,
617,237,Echo,17660,1619,
620,26,Osprey,107000,75,
621,26,Caracal,92000,75,
622,26,Stabber,80000,73,
623,26,Moa,101000,75,
624,26,Maller,118000,74,
625,26,Augoror,115000,74,
626,26,Vexor,115000,76,
627,26,Thorax,112000,76,
628,26,Arbitrator,120000,74,
629,26,Rupture,96000,73,
630,26,Bellicose,85000,73,
631,26,Scythe,89000,73,
632,26,Blackbird,96000,75,
633,26,Celestis,116000,76,
634,26,Exequror,113000,76,
635,26,Opux Luxury Yacht,115000,1699,
638,27,Raven,486000,80,
639,27,Tempest,450000,78,
640,27,Scorpion,468000,80,
641,27,Megathron,486000,81,
642,27,Apocalypse,495000,79,
643,27,Armageddon,486000,79,
644,27,Typhoon,414000,78,
645,27,Dominix,454500,81,
648,28,Badger,250000,84,
649,28,Tayra,270000,84,
650,28,Nereus,240000,83,
651,28,Hoarder,400000,82,
652,28,Mammoth,255000,82,
653,28,Wreathe,225000,82,
654,28,Kryos,245000,83,
655,28,Epithal,250000,83,
656,28,Miasmos,265000,83,
657,28,Iteron Mark V,275000,83,
671,30,Erebus,145500000,815,
672,31,Caldari Shuttle,5000,396,
683,105,Bantam Blueprint,0.01,261,
684,105,Condor Blueprint,0.01,261,
685,105,Griffin Blueprint,0.01,261,
686,106,Osprey Blueprint,0.01,275,
687,106,Caracal Blueprint,0.01,275,
688,107,Raven Blueprint,0.01,280,
689,105,Slasher Blueprint,0.01,264,
690,105,Probe Blueprint,0.01,264,
691,105,Rifter Blueprint,0.01,264,
692,106,Stabber Blueprint,0.01,273,
693,107,Tempest Blueprint,0.01,278,
785,134,Miner I Blueprint,0.01,338,1061
786,136,Light Missile Launcher I Blueprint,0.01,340,168
788,136,Heavy Missile Launcher I Blueprint,0.01,340,169
790,136,Torpedo Launcher I Blueprint,0.01,340,170
803,166,Mjolnir Cruise Missile Blueprint,0.01,1526,182
804,166,Scourge Cruise Missile Blueprint,0.01,1526,183
805,166,Inferno Cruise Missile Blueprint,0.01,1526,184
806,166,Nova Cruise Missile Blueprint,0.01,1526,185
807,166,Nova Heavy Missile Blueprint,0.01,1527,186
808,166,Mjolnir Heavy Missile Blueprint,0.01,1527,187
809,166,Inferno Heavy Missile Blueprint,0.01,1527,188
810,166,Scourge Heavy Missile Blueprint,0.01,1527,189
811,166,Scourge Light Missile Blueprint,0.01,1528,190
812,166,Inferno Light Missile Blueprint,0.01,1528,191
813,166,Mjolnir Light Missile Blueprint,0.01,1528,192
814,166,Nova Light Missile Blueprint,0.01,1528,193
819,135,125mm Gatling AutoCannon I Blueprint,0.01,296,387
820,135,150mm Light AutoCannon I Blueprint,0.01,296,387
821,135,200mm AutoCannon I Blueprint,0.01,296,387
822,135,250mm Light Artillery Cannon I Blueprint,0.01,296,389
823,135,280mm Howitzer Artillery I Blueprint,0.01,296,389
824,135,Dual 180mm AutoCannon I Blueprint,0.01,297,386
825,135,220mm Vulcan AutoCannon I Blueprint,0.01,297,387
826,135,425mm AutoCannon I Blueprint,0.01,297,386
827,135,650mm Artillery Cannon I Blueprint,0.01,297,384
828,135,720mm Howitzer Artillery I Blueprint,0.01,297,384
829,135,Dual 425mm AutoCannon I Blueprint,0.01,298,381
830,135,Dual 650mm Repeating Cannon I Blueprint,0.01,298,381
831,135,800mm Repeating Cannon I Blueprint,0.01,298,381
832,135,1200mm Artillery Cannon I Blueprint,0.01,298,379
833,135,1400mm Howitzer Artillery I Blueprint,0.01,298,379
834,133,Gatling Pulse Laser I Blueprint,0.01,292,350
835,133,Dual Light Pulse Laser I Blueprint,0.01,292,350
836,133,Dual Light Beam Laser I Blueprint,0.01,292,352
837,133,Small Focused Pulse Laser I Blueprint,0.01,292,350
838,133,Small Focused Beam Laser I Blueprint,0.01,292,352
839,133,Quad Light Beam Laser I Blueprint,0.01,293,355
840,133,Focused Medium Pulse Laser I Blueprint,0.01,293,356
841,133,Focused Medium Beam Laser I Blueprint,0.01,293,355
842,133,Heavy Pulse Laser I Blueprint,0.01,293,356
843,133,Heavy Beam Laser I Blueprint,0.01,293,355
844,133,Dual Heavy Pulse Laser I Blueprint,0.01,295,360
845,133,Dual Heavy Beam Laser I Blueprint,0.01,295,361
846,133,Mega Pulse Laser I Blueprint,0.01,295,360
847,133,Mega Beam Laser I Blueprint,0.01,295,361
848,133,Tachyon Beam Laser I Blueprint,0.01,295,361
879,165,Carbonized Lead S Blueprint,0.01,313,1004
880,165,Nuclear S Blueprint,0.01,313,1288
881,165,Proton S Blueprint,0.01,313,1290
882,165,Depleted Uranium S Blueprint,0.01,313,1285
883,165,Titanium Sabot S Blueprint,0.01,313,1291
884,165,Fusion S Blueprint,0.01,313,1287
885,165,Phased Plasma S Blueprint,0.01,313,1289
886,165,EMP S Blueprint,0.01,313,1286
887,165,Carbonized Lead M Blueprint,0.01,312,1292
888,165,Nuclear M Blueprint,0.01,312,1296
889,165,Proton M Blueprint,0.01,312,1298
890,165,Depleted Uranium M Blueprint,0.01,312,1293
891,165,Titanium Sabot M Blueprint,0.01,312,1299
892,165,Fusion M Blueprint,0.01,312,1295
893,165,Phased Plasma M Blueprint,0.01,312,1297
894,165,EMP M Blueprint,0.01,312,1294
895,165,Carbonized Lead L Blueprint,0.01,309,1300
896,165,Nuclear L Blueprint,0.01,309,1304
897,165,Proton L Blueprint,0.01,309,1306
898,165,Depleted Uranium L Blueprint,0.01,309,1301
899,165,Titanium Sabot L Blueprint,0.01,309,1307
900,165,Fusion L Blueprint,0.01,309,1303
901,165,Phased Plasma L Blueprint,0.01,309,1305
902,165,EMP L Blueprint,0.01,309,1302
936,105,Executioner Blueprint,0.01,272,
937,105,Inquisitor Blueprint,0.01,272,
938,105,Tormentor Blueprint,0.01,272,
939,105,Navitas Blueprint,0.01,277,
940,105,Tristan Blueprint,0.01,277,
941,105,Incursus Blueprint,0.01,277,
944,105,Punisher Blueprint,0.01,272,
945,105,Breacher Blueprint,0.01,264,
946,105,Burst Blueprint,0.01,264,
949,105,Kestrel Blueprint,0.01,261,
950,105,Merlin Blueprint,0.01,261,
952,105,Heron Blueprint,0.01,261,
954,105,Imicus Blueprint,0.01,277,
955,105,Atron Blueprint,0.01,277,
956,105,Maulus Blueprint,0.01,277,
967,111,Caldari Shuttle Blueprint,0.01,416,
968,106,Moa Blueprint,0.01,275,
969,106,Maller Blueprint,0.01,274,
970,106,Augoror Blueprint,0.01,274,
971,106,Vexor Blueprint,0.01,276,
972,106,Thorax Blueprint,0.01,276,
973,106,Arbitrator Blueprint,0.01,274,
974,106,Rupture Blueprint,0.01,273,
975,106,Bellicose Blueprint,0.01,273,
976,106,Scythe Blueprint,0.01,273,
977,106,Blackbird Blueprint,0.01,275,
978,106,Celestis Blueprint,0.01,276,
979,106,Exequror Blueprint,0.01,276,
983,108,Badger Blueprint,0.01,284,
984,108,Tayra Blueprint,0.01,284,
985,108,Nereus Blueprint,0.01,283,
986,108,Hoarder Blueprint,0.01,282,
987,108,Mammoth Blueprint,0.01,282,
988,108,Wreathe Blueprint,0.01,282,
989,108,Kryos Blueprint,0.01,283,
990,108,Epithal Blueprint,0.01,283,
991,108,Miasmos Blueprint,0.01,283,
992,108,Iteron Mark V Blueprint,0.01,283,
994,107,Scorpion Blueprint,0.01,280,
995,107,Megathron Blueprint,0.01,281,
996,107,Apocalypse Blueprint,0.01,279,
997,107,Armageddon Blueprint,0.01,279,
998,107,Typhoon Blueprint,0.01,278,
999,107,Dominix Blueprint,0.01,281,
1002,110,Erebus Blueprint,0.01,886,
1010,118,Small Shield Extender I Blueprint,0.01,1549,1044
1026,119,Shield Recharger I Blueprint,0.01,1551,83
1032,120,Small Shield Booster I Blueprint,0.01,1552,84
1067,126,5MN Microwarpdrive I Blueprint,0.01,331,96
1072,126,1MN Afterburner I Blueprint,0.01,1525,96
1074,127,Cargo Scanner I Blueprint,0.01,325,106
1075,128,Ship Scanner I Blueprint,0.01,325,107
1076,129,Survey Scanner I Blueprint,0.01,325,107
1079,132,Warp Scrambler I Blueprint,0.01,1939,111
1096,139,Gyrostabilizer I Blueprint,0.01,343,1046
1099,142,Small Armor Repairer I Blueprint,0.01,1536,80
1100,143,Small Hull Repairer I Blueprint,0.01,1537,21
1102,145,Stasis Webifier I Blueprint,0.01,1570,1284
1105,147,Small Remote Capacitor Transmitter I Blueprint,0.01,1562,1035
1106,148,Small Energy Nosferatu I Blueprint,0.01,1564,1029
1109,151,Small Energy Neutralizer I Blueprint,0.01,1565,1283
1112,154,75mm Gatling Rail I Blueprint,0.01,291,349
1113,154,Light Electron Blaster I Blueprint,0.01,291,376
1114,154,Light Ion Blaster I Blueprint,0.01,291,376
1115,154,Light Neutron Blaster I Blueprint,0.01,291,376
1116,154,150mm Railgun I Blueprint,0.01,291,349
1117,154,Heavy Electron Blaster I Blueprint,0.01,290,371
1118,154,Dual 150mm Railgun I Blueprint,0.01,290,370
1119,154,Heavy Neutron Blaster I Blueprint,0.01,290,371
1120,154,Heavy Ion Blaster I Blueprint,0.01,290,371
1121,154,250mm Railgun I Blueprint,0.01,290,370
1122,154,Electron Blaster Cannon I Blueprint,0.01,289,365
1123,154,Dual 250mm Railgun I Blueprint,0.01,289,366
1124,154,Neutron Blaster Cannon I Blueprint,0.01,289,365
1125,154,425mm Railgun I Blueprint,0.01,289,366
1126,154,Ion Blaster Cannon I Blueprint,0.01,289,365
1128,156,Medium Capacitor Booster I Blueprint,0.01,1563,1031
1129,157,Adaptive Invulnerability Field I Blueprint,0.01,1548,81
1130,167,Iron Charge S Blueprint,0.01,307,1311
1131,167,Tungsten Charge S Blueprint,0.01,307,1315
1132,167,Iridium Charge S Blueprint,0.01,307,1310
1133,167,Lead Charge S Blueprint,0.01,307,1312
1134,167,Thorium Charge S Blueprint,0.01,307,1314
1135,167,Uranium Charge S Blueprint,0.01,307,1316
1136,167,Plutonium Charge S Blueprint,0.01,307,1313
1137,167,Antimatter Charge S Blueprint,0.01,307,1047
1138,167,Iron Charge M Blueprint,0.01,308,1319
1139,167,Tungsten Charge M Blueprint,0.01,308,1323
1140,167,Iridium Charge M Blueprint,0.01,308,1318
1141,167,Lead Charge M Blueprint,0.01,308,1320
1142,167,Thorium Charge M Blueprint,0.01,308,1322
1143,167,Uranium Charge M Blueprint,0.01,308,1324
1144,167,Plutonium Charge M Blueprint,0.01,308,1321
1145,167,Antimatter Charge M Blueprint,0.01,308,1317
1146,167,Iron Charge L Blueprint,0.01,306,1327
1147,167,Tungsten Charge L Blueprint,0.01,306,1331
1148,167,Iridium Charge L Blueprint,0.01,306,1326
1149,167,Lead Charge L Blueprint,0.01,306,1328
1150,167,Thorium Charge L Blueprint,0.01,306,1330
1151,167,Uranium Charge L Blueprint,0.01,306,1332
1152,167,Plutonium Charge L Blueprint,0.01,306,1329
1153,167,Antimatter Charge L Blueprint,0.01,306,1325
1154,168,Radio S Blueprint,0.01,302,1145
1155,168,Microwave S Blueprint,0.01,302,1143
1156,168,Infrared S Blueprint,0.01,302,1144
1157,168,Standard S Blueprint,0.01,302,1142
1158,168,Ultraviolet S Blueprint,0.01,302,1141
1159,168,Xray S Blueprint,0.01,302,1140
1160,168,Gamma S Blueprint,0.01,302,1139
1161,168,Multifrequency S Blueprint,0.01,302,1131
1162,168,Radio M Blueprint,0.01,303,1145
1163,168,Microwave M Blueprint,0.01,303,1143
1164,168,Infrared M Blueprint,0.01,303,1144
1165,168,Standard M Blueprint,0.01,303,1142
1166,168,Ultraviolet M Blueprint,0.01,303,1141
1167,168,Xray M Blueprint,0.01,303,1140
1168,168,Gamma M Blueprint,0.01,303,1139
1169,168,Multifrequency M Blueprint,0.01,303,1131
1170,168,Radio L Blueprint,0.01,305,1145
1171,168,Microwave L Blueprint,0.01,305,1143
1172,168,Infrared L Blueprint,0.01,305,1144
1173,168,Standard L Blueprint,0.01,305,1142
1174,168,Ultraviolet L Blueprint,0.01,305,1141
1175,168,Xray L Blueprint,0.01,305,1140
1176,168,Gamma L Blueprint,0.01,305,1139
1177,168,Multifrequency L Blueprint,0.01,305,1131
1178,169,Cap Booster 25 Blueprint,0.01,339,1033
1179,169,Cap Booster 50 Blueprint,0.01,339,1033
1182,96,Auto Targeting System I,5,670,104
1183,62,Small Armor Repairer II,5,1049,80
1185,61,Small Capacitor Battery I,5,703,89
1186,141,Small Capacitor Battery I Blueprint,0.01,1558,89
1190,67,Small Remote Capacitor Transmitter II,5,695,1035
1192,764,'Basic' Overdrive Injector System,5,1087,98
1193,98,Basic EM Plating,5,1668,20956
1195,43,Cap Recharger I,5,665,90
1196,123,Cap Recharger I Blueprint,0.01,1555,90
1197,98,EM Plating I,5,1668,20956
1198,98,EM Plating II,5,1668,20956
1201,100,Wasp I,25,839,
1202,101,Civilian Mining Drone,5,158,
1204,163,EM Plating I Blueprint,0.01,1544,1030
1208,162,Auto Targeting System I Blueprint,0.01,1579,104
1210,160,ECM Burst I Blueprint,0.01,1568,109
1212,161,Passive Targeter I Blueprint,0.01,1582,104
1214,176,Wasp I Blueprint,0.01,359,
1215,170,Heavy Defender Missile I Blueprint,0.01,316,187
1216,166,Mjolnir Auto-Targeting Light Missile I Blueprint,0.01,315,1336
1218,177,Civilian Mining Drone Blueprint,0.01,358,
1220,166,Scourge Rocket Blueprint,0.01,318,1350
1221,166,Scourge Torpedo Blueprint,0.01,390,1346
1223,451,Bistot,16,514,1273
1224,459,Pyroxeres,0.3,515,231
1225,452,Crokite,16,521,1272
1226,456,Jaspet,2,529,1279
1227,469,Omber,0.6,526,1271
1228,460,Scordite,0.15,519,1356
1229,467,Gneiss,5,525,1377
1230,462,Veldspar,0.1,518,232
1231,455,Hemorphite,3,528,1282
1232,453,Dark Ochre,8,522,1275
1236,764,Overdrive Injector System II,5,1087,98
1240,78,'Basic' Reinforced Bulkheads,5,1195,76
1242,763,'Basic' Nanofiber Internal Structure,5,1196,1042
1244,764,Overdrive Injector System I,5,1087,98
1245,158,Overdrive Injector System I Blueprint,0.01,332,98
1246,768,Capacitor Flux Coil I,5,666,90
1247,137,Capacitor Flux Coil I Blueprint,0.01,1556,90
1248,768,Capacitor Flux Coil II,5,666,90
1254,770,Shield Flux Coil I,5,687,83
1255,137,Shield Flux Coil I Blueprint,0.01,1547,83
1256,770,Shield Flux Coil II,5,687,83
1262,98,Basic Explosive Plating,5,1667,20955
1264,98,Explosive Plating I,5,1667,20955
1265,163,Explosive Plating I Blueprint,0.01,1544,1030
1266,98,Explosive Plating II,5,1667,20955
1272,98,Basic Layered Plating,5,1669,1030
1274,98,Layered Plating I,5,1669,1030
1275,163,Layered Plating I Blueprint,0.01,1544,1030
1276,98,Layered Plating II,5,1669,1030
1282,98,Basic Kinetic Plating,5,1666,20957
1284,98,Kinetic Plating I,5,1666,20957
1285,163,Kinetic Plating I Blueprint,0.01,1544,1030
1286,98,Kinetic Plating II,5,1666,20957
1292,98,Basic Thermal Plating,5,1665,20958
1294,98,Thermal Plating I,5,1665,20958
1295,163,Thermal Plating I Blueprint,0.01,1544,1030
1296,98,Thermal Plating II,5,1665,20958
1302,98,Basic Adaptive Nano Plating,5,1670,1030
1304,98,Adaptive Nano Plating I,5,1670,1030
1305,163,Adaptive Nano Plating I Blueprint,0.01,1544,1030
1306,98,Adaptive Nano Plating II,5,1670,1030
1315,765,'Basic' Expanded Cargohold,5,1197,92
1317,765,Expanded Cargohold I,5,1197,92
1318,158,Expanded Cargohold I Blueprint,0.01,335,92
1319,765,Expanded Cargohold II,5,1197,92
1333,78,Reinforced Bulkheads I,25,1195,76
1334,158,Reinforced Bulkheads I Blueprint,0.01,335,76
1335,78,Reinforced Bulkheads II,5,1195,76
1351,769,Basic Reactor Control Unit,5,659,70
1353,769,Reactor Control Unit I,5,659,70
1354,137,Reactor Control Unit I Blueprint,0.01,1561,70
1355,769,Reactor Control Unit II,5,659,70
1401,762,'Basic' Inertial Stabilizers,5,1086,1041
1403,762,Inertial Stabilizers I,5,1086,1041
1404,158,Inertial Stabilizers I Blueprint,0.01,332,1041
1405,762,Inertial Stabilizers II,5,1086,1041
1419,57,'Basic' Shield Power Relay,5,688,83
1422,57,Shield Power Relay II,5,688,83
1436,96,Auto Targeting System II,5,670,104
1445,767,Capacitor Power Relay I,5,667,90
1446,137,Capacitor Power Relay I Blueprint,0.01,1557,90
1447,767,Capacitor Power Relay II,5,667,90
1537,766,'Basic' Power Diagnostic System,5,658,70
1539,766,Power Diagnostic System I,5,658,70
1540,137,Power Diagnostic System I Blueprint,0.01,1560,70
1541,766,Power Diagnostic System II,5,658,70
1547,72,Small Proton Smartbomb I,12.5,382,112
1548,152,Small Proton Smartbomb I Blueprint,0.01,341,112
1549,72,Small Proton Smartbomb II,5,382,112
1551,72,Small Graviton Smartbomb I,12.5,382,112
1552,152,Small Graviton Smartbomb I Blueprint,0.01,341,112
1553,72,Small Graviton Smartbomb II,5,382,112
1557,72,Small Plasma Smartbomb I,12.5,382,112
1558,152,Small Plasma Smartbomb I Blueprint,0.01,341,112
1559,72,Small Plasma Smartbomb II,5,382,112
1563,72,Small EMP Smartbomb I,12.5,382,112
1564,152,Small EMP Smartbomb I Blueprint,0.01,341,112
1565,72,Small EMP Smartbomb II,5,382,112
1798,295,Basic EM Ward Amplifier,5,1691,20942
1800,295,Basic Thermal Dissipation Amplifier,5,1688,20940
1802,295,Basic Kinetic Deflection Amplifier,5,1689,20939
1804,295,Basic Explosive Deflection Amplifier,5,1690,20941
1808,295,EM Ward Amplifier I,5,1691,20942
1809,296,EM Ward Amplifier I Blueprint,0.01,1554,82
1810,394,Scourge Auto-Targeting Light Missile I,0.015,914,1333
1811,166,Scourge Auto-Targeting Light Missile I Blueprint,0.01,315,1333
1814,394,Nova Auto-Targeting Light Missile I,0.015,914,1335
1815,166,Nova Auto-Targeting Light Missile I Blueprint,0.01,315,1335
1816,394,Inferno Auto-Targeting Light Missile I,0.015,914,1334
1817,166,Inferno Auto-Targeting Light Missile I Blueprint,0.01,315,1334
1818,395,Scourge Auto-Targeting Heavy Missile I,0.03,914,1340
1819,166,Scourge Auto-Targeting Heavy Missile I Blueprint,0.01,315,1340
1820,395,Mjolnir Auto-Targeting Heavy Missile I,0.03,914,1339
1821,166,Mjolnir Auto-Targeting Heavy Missile I Blueprint,0.01,315,1339
1822,395,Nova Auto-Targeting Heavy Missile I,0.03,914,1338
1823,166,Nova Auto-Targeting Heavy Missile I Blueprint,0.01,315,1338
1824,395,Inferno Auto-Targeting Heavy Missile I,0.03,914,1337
